#	Company	Symbol	Weight	      Price	Chg	% Chg
72	Intuit Inc.	INTU	0.327795	   395.85	3.62	(0.92%)
73	Automatic Data Processing Inc.	ADP	0.32303	   262.58	0.61	(0.23%)
74	Gilead Sciences Inc.	GILD	0.317074	   85.72	0.49	(0.57%)
75	Prologis Inc.	PLD	0.315519	   116.00	0.22	(0.19%)
76	Medtronic Plc	MDT	0.307359	   79.03	1.10	(1.41%)
77	American Tower Corporation	AMT	0.301463	   218.70	0.57	(0.26%)
78	Cigna Corporation	CI	0.289245	   319.84	0.49	(0.15%)
79	Boeing Company	BA	0.285819	   174.90	2.40	(1.39%)
80	Citigroup Inc.	C	0.283451	   48.25	-1.08	(-2.19%)
81	General Electric Company	GE	0.283257	   87.91	0.61	(0.70%)
82	TJX Companies Inc	TJX	0.278402	   80.82	0.71	(0.89%)
83	Intuitive Surgical Inc.	ISRG	0.278378	   264.61	1.71	(0.65%)
84	Applied Materials Inc.	AMAT	0.276393	   108.00	0.96	(0.90%)
85	American Express Company	AXP	0.275215	   154.39	-0.19	(-0.12%)
86	PayPal Holdings Inc.	PYPL	0.274025	   80.86	0.95	(1.19%)
87	T-Mobile US Inc.	TMUS	0.270883	   150.95	-0.65	(-0.43%)
88	Mondelez International Inc. Class A	MDLZ	0.269772	   66.68	0.37	(0.56%)
89	Chubb Limited	CB	0.264073	   214.15	1.13	(0.53%)
90	Analog Devices Inc.	ADI	0.25993	   169.98	1.55	(0.92%)
91	Marsh & McLennan Companies Inc.	MMC	0.252986	   171.15	0.33	(0.19%)
92	EOG Resources Inc.	EOG	0.251046	   142.65	-1.67	(-1.16%)
93	Vertex Pharmaceuticals Incorporated	VRTX	0.244728	   316.69	-4.79	(-1.49%)
94	Altria Group Inc	MO	0.241403	   44.95	-0.21	(-0.47%)
95	ServiceNow Inc.	NOW	0.240034	   409.25	8.97	(2.24%)
96	Regeneron Pharmaceuticals Inc.	REGN	0.238284	   735.35	-13.88	(-1.85%)
97	Booking Holdings Inc.	BKNG	0.229136	   1,972.00	25.03	(1.29%)
98	Stryker Corporation	SYK	0.226372	   230.25	3.73	(1.65%)
99	Northrop Grumman Corp.	NOC	0.226231	   522.34	-2.31	(-0.44%)
100	Progressive Corporation	PGR	0.225149	   131.09	1.00	(0.77%)
101	Schlumberger NV	SLB	0.224388	   51.43	-2.21	(-4.12%)
102	Duke Energy Corporation	DUK	0.222551	   98.75	1.07	(1.10%)
103	Target Corporation	TGT	0.217285	   163.50	5.64	(3.57%)
104	3M Company	MMM	0.210659	   128.01	-0.59	(-0.46%)
105	Southern Company	SO	0.208095	   66.36	0.41	(0.62%)
106	Zoetis Inc. Class A	ZTS	0.206312	   150.55	1.92	(1.29%)
107	Air Products and Chemicals Inc.	APD	0.202878	   309.13	-0.03	(-0.01%)
108	CSX Corporation	CSX	0.202874	   32.23	0.31	(0.97%)
109	PNC Financial Services Group Inc.	PNC	0.200753	   166.51	1.53	(0.93%)
110	Becton Dickinson and Company	BDX	0.199456	   237.03	1.42	(0.60%)
111	Humana Inc.	HUM	0.198688	   538.61	7.81	(1.47%)
112	Eaton Corp. Plc	ETN	0.196824	   165.36	-1.12	(-0.67%)
113	Micron Technology Inc.	MU	0.191975	   58.93	0.31	(0.53%)
114	Fiserv Inc.	FISV	0.191729	   102.50	1.51	(1.50%)
115	Illinois Tool Works Inc.	ITW	0.191274	   228.68	-0.07	(-0.03%)
116	Aon Plc Class A	AON	0.190011	   304.24	0.45	(0.15%)
117	Colgate-Palmolive Company	CL	0.189399	   77.34	0.97	(1.27%)
118	Marathon Petroleum Corporation	MPC	0.18738	   125.60	-1.00	(-0.79%)
119	Lam Research Corporation	LRCX	0.185225	   462.00	6.38	(1.40%)
120	CME Group Inc. Class A	CME	0.184869	   176.67	2.42	(1.39%)
121	Boston Scientific Corporation	BSX	0.184216	   43.89	0.35	(0.80%)
122	Waste Management Inc.	WM	0.182259	   164.67	1.43	(0.88%)
123	Truist Financial Corporation	TFC	0.182206	   46.43	0.01	(0.02%)
124	Moderna Inc.	MRNA	0.179331	   176.72	-2.87	(-1.60%)
125	Crown Castle Inc.	CCI	0.178282	   140.40	1.29	(0.93%)
126	Pioneer Natural Resources Company	PXD	0.177847	   254.51	3.43	(1.37%)
127	Equinix Inc.	EQIX	0.176726	   670.21	14.14	(2.16%)
128	U.S. Bancorp	USB	0.17623	   44.11	0.20	(0.46%)
129	Intercontinental Exchange Inc.	ICE	0.175582	   106.62	0.59	(0.56%)
130	Norfolk Southern Corporation	NSC	0.17505	   251.11	0.01	(0.00%)
131	Dollar General Corporation	DG	0.173257	   256.92	-0.54	(-0.21%)
132	General Motors Company	GM	0.172463	   40.15	0.18	(0.45%)
133	Sherwin-Williams Company	SHW	0.170453	   250.00	6.55	(2.69%)
134	Emerson Electric Co.	EMR	0.168758	   96.42	0.40	(0.42%)
135	General Dynamics Corporation	GD	0.167877	   252.31	0.79	(0.31%)
136	Valero Energy Corporation	VLO	0.166035	   139.23	-2.75	(-1.94%)
137	Ford Motor Company	F	0.16494	   14.03	-0.04	(-0.28%)
138	Archer-Daniels-Midland Company	ADM	0.162611	   97.06	-0.61	(-0.62%)
139	O'Reilly Automotive Inc.	ORLY	0.161295	   850.82	-1.31	(-0.15%)
140	McKesson Corporation	MCK	0.161175	   380.75	3.02	(0.80%)
141	Occidental Petroleum Corporation	OXY	0.160957	   70.85	-1.92	(-2.64%)
142	KLA Corporation	KLAC	0.160862	   385.63	3.45	(0.90%)
143	Freeport-McMoRan Inc.	FCX	0.160705	   38.10	0.24	(0.63%)
144	Activision Blizzard Inc.	ATVI	0.160347	   73.91	-1.97	(-2.60%)
145	Phillips 66	PSX	0.159875	   110.85	-1.44	(-1.28%)
146	MetLife Inc.	MET	0.152975	   76.47	-0.45	(-0.59%)
147	Estee Lauder Companies Inc. Class A	EL	0.152476	   222.92	0.63	(0.28%)
148	HCA Healthcare Inc	HCA	0.15002	   237.28	2.54	(1.08%)
149	Sempra Energy	SRE	0.149117	   163.00	2.67	(1.67%)
150	Dominion Energy Inc	D	0.148889	   61.10	0.85	(1.41%)
151	Synopsys Inc.	SNPS	0.148114	   334.92	7.96	(2.43%)
152	AutoZone Inc.	AZO	0.146055	   2,522.00	-6.81	(-0.27%)
153	General Mills Inc.	GIS	0.145326	   82.99	0.82	(1.00%)
154	American Electric Power Company Inc.	AEP	0.142425	   95.25	1.54	(1.64%)
155	Amphenol Corporation Class A	APH	0.140864	   79.79	-0.29	(-0.36%)
156	Corteva Inc	CTVA	0.14083	   65.80	-0.29	(-0.44%)
157	Centene Corporation	CNC	0.140758	   83.63	0.67	(0.81%)
158	Public Storage	PSA	0.14041	   291.34	-8.01	(-2.68%)
159	Agilent Technologies Inc.	A	0.138905	   155.34	-1.52	(-0.97%)
160	Johnson Controls International plc	JCI	0.138171	   66.72	-0.86	(-1.27%)
161	Moody's Corporation	MCO	0.137861	   297.96	3.60	(1.22%)
162	American International Group Inc.	AIG	0.137409	   60.96	0.08	(0.13%)
163	Edwards Lifesciences Corporation	EW	0.136919	   75.85	1.54	(2.07%)
164	Roper Technologies Inc.	ROP	0.135643	   433.62	0.88	(0.20%)
165	Kimberly-Clark Corporation	KMB	0.13527	   134.00	-0.98	(-0.73%)
166	NXP Semiconductors NV	NXPI	0.135041	   174.81	1.40	(0.81%)
167	Autodesk Inc.	ADSK	0.134554	   196.99	-11.91	(-5.70%)
168	Cadence Design Systems Inc.	CDNS	0.134391	   168.30	3.10	(1.88%)
169	Devon Energy Corporation	DVN	0.133276	   67.81	-0.76	(-1.11%)
170	Marriott International Inc. Class A	MAR	0.132602	   161.75	-1.19	(-0.73%)
171	Biogen Inc.	BIIB	0.131953	   303.45	-3.27	(-1.07%)
172	Travelers Companies Inc.	TRV	0.131851	   188.01	0.88	(0.47%)
173	Motorola Solutions Inc.	MSI	0.131162	   266.00	0.94	(0.35%)
174	Sysco Corporation	SYY	0.130377	   88.00	1.79	(2.08%)
175	DexCom Inc.	DXCM	0.128957	   113.43	2.42	(2.18%)
176	Enphase Energy Inc.	ENPH	0.128825	   316.04	-4.40	(-1.37%)
177	L3Harris Technologies Inc	LHX	0.127855	   225.78	0.46	(0.20%)
178	Charter Communications Inc. Class A	CHTR	0.126891	   390.03	4.48	(1.16%)
179	FedEx Corporation	FDX	0.123991	   176.85	1.18	(0.67%)
180	Chipotle Mexican Grill Inc.	CMG	0.123958	   1,510.00	4.10	(0.27%)
181	Williams Companies Inc.	WMB	0.123736	   33.68	-0.53	(-1.55%)
182	Arthur J. Gallagher & Co.	AJG	0.123158	   198.02	0.79	(0.40%)
183	Trane Technologies plc	TT	0.123153	   179.35	0.59	(0.33%)
184	Microchip Technology Incorporated	MCHP	0.122888	   76.62	1.44	(1.92%)
185	Aflac Incorporated	AFL	0.122885	   72.00	0.01	(0.01%)
186	Hess Corporation	HES	0.121452	   144.22	-3.89	(-2.63%)
187	Constellation Brands Inc. Class A	STZ	0.120577	   256.13	1.13	(0.44%)
188	MSCI Inc. Class A	MSCI	0.120546	   513.34	10.67	(2.12%)
189	TE Connectivity Ltd.	TEL	0.120152	   127.26	0.69	(0.55%)
190	Prudential Financial Inc.	PRU	0.119743	   107.06	-1.50	(-1.38%)
191	Realty Income Corporation	O	0.119706	   64.73	-0.57	(-0.87%)
192	Ross Stores Inc.	ROST	0.1196	   116.03	0.76	(0.66%)
193	IQVIA Holdings Inc	IQV	0.119506	   217.72	1.82	(0.84%)
194	Nucor Corporation	NUE	0.118249	   149.42	-2.73	(-1.79%)
195	Fidelity National Information Services Inc.	FIS	0.117801	   65.93	0.74	(1.14%)
196	Monster Beverage Corporation	MNST	0.117779	   104.38	1.22	(1.18%)
197	Parker-Hannifin Corporation	PH	0.117422	   308.28	-1.11	(-0.36%)
198	Cintas Corporation	CTAS	0.116247	   456.93	1.61	(0.35%)
199	Exelon Corporation	EXC	0.116128	   39.88	0.43	(1.09%)
200	Capital One Financial Corp	COF	0.115698	   101.64	0.09	(0.09%)
201	Paychex Inc.	PAYX	0.115646	   123.27	0.49	(0.40%)
202	Simon Property Group Inc.	SPG	0.11538	   120.11	0.73	(0.61%)
203	Hilton Worldwide Holdings Inc	HLT	0.11385	   138.05	-1.94	(-1.39%)
204	Xcel Energy Inc.	XEL	0.110995	   69.55	0.70	(1.02%)
205	Kinder Morgan Inc Class P	KMI	0.110165	   18.66	-0.06	(-0.32%)
206	Carrier Global Corp.	CARR	0.110028	   44.40	0.36	(0.82%)
207	Dow Inc.	DOW	0.109929	   51.59	0.02	(0.04%)
208	Ecolab Inc.	ECL	0.108996	   150.74	1.82	(1.22%)
209	Newmont Corporation	NEM	0.108414	   46.40	0.27	(0.59%)
210	PACCAR Inc	PCAR	0.10828	   105.89	-0.13	(-0.12%)
211	Allstate Corporation	ALL	0.107402	   134.35	0.48	(0.36%)
212	Ameriprise Financial Inc.	AMP	0.106081	   332.60	2.18	(0.66%)
213	DuPont de Nemours Inc.	DD	0.105776	   71.81	0.67	(0.94%)
214	Yum! Brands Inc.	YUM	0.105485	   128.87	3.93	(3.15%)
215	Cummins Inc.	CMI	0.104652	   250.33	0.06	(0.02%)
216	Illumina Inc.	ILMN	0.102346	   222.21	0.04	(0.02%)
217	IDEXX Laboratories Inc.	IDXX	0.101851	   416.60	4.47	(1.08%)
218	Fortinet Inc.	FTNT	0.101565	   53.35	1.07	(2.05%)
219	Electronic Arts Inc.	EA	0.10154	   131.27	1.75	(1.35%)
220	Hershey Company	HSY	0.101223	   232.29	0.10	(0.04%)
221	Arista Networks Inc.	ANET	0.099523	   136.90	0.86	(0.63%)
222	Halliburton Company	HAL	0.099374	   36.67	-0.78	(-2.08%)
223	Consolidated Edison Inc.	ED	0.099254	   96.68	1.46	(1.53%)
224	ResMed Inc.	RMD	0.099161	   229.34	-0.32	(-0.14%)
225	Bank of New York Mellon Corp	BK	0.098765	   45.74	0.50	(1.11%)
226	Otis Worldwide Corporation	OTIS	0.097486	   78.43	0.18	(0.23%)
227	Albemarle Corporation	ALB	0.097365	   283.22	0.13	(0.05%)
228	Keurig Dr Pepper Inc.	KDP	0.096664	   38.32	-0.01	(-0.03%)
229	TransDigm Group Incorporated	TDG	0.096329	   639.04	9.68	(1.54%)
230	AMETEK Inc.	AME	0.096294	   142.08	0.44	(0.31%)
231	Mettler-Toledo International Inc.	MTD	0.096079	   1,441.32	1.57	(0.11%)
232	Dollar Tree Inc.	DLTR	0.095464	   150.20	-2.17	(-1.42%)
233	ON Semiconductor Corporation	ON	0.094811	   74.22	0.48	(0.65%)
234	VICI Properties Inc	VICI	0.094697	   33.00	-0.23	(-0.69%)
235	Welltower Inc	WELL	0.094689	   69.81	0.96	(1.39%)
236	SBA Communications Corp. Class A	SBAC	0.094046	   297.61	3.55	(1.21%)
237	Digital Realty Trust Inc.	DLR	0.093408	   110.99	1.49	(1.36%)
238	CoStar Group Inc.	CSGP	0.093361	   80.02	0.59	(0.74%)
239	Kroger Co.	KR	0.093315	   47.98	-0.10	(-0.21%)
240	Keysight Technologies Inc	KEYS	0.093082	   176.81	2.53	(1.45%)
241	Constellation Energy Corporation	CEG	0.092313	   97.00	0.73	(0.76%)
242	Kraft Heinz Company	KHC	0.092116	   39.00	0.04	(0.10%)
243	PPG Industries Inc.	PPG	0.092088	   133.06	1.07	(0.81%)
244	Rockwell Automation Inc.	ROK	0.091045	   266.61	-0.36	(-0.13%)
245	Cognizant Technology Solutions Corporation Class A	CTSH	0.090936	   60.40	1.17	(1.98%)
246	WEC Energy Group Inc	WEC	0.090114	   98.07	0.94	(0.97%)
247	M&T Bank Corporation	MTB	0.089504	   171.87	0.20	(0.12%)
248	Baker Hughes Company Class A	BKR	0.088561	   28.83	-0.66	(-2.24%)
249	Fastenal Company	FAST	0.088559	   53.40	1.01	(1.93%)
250	Walgreens Boots Alliance Inc.	WBA	0.088233	   41.82	0.03	(0.07%)
251	Discover Financial Services	DFS	0.087745	   108.70	0.49	(0.45%)
252	Public Service Enterprise Group Inc	PEG	0.086732	   59.01	0.66	(1.13%)
253	ONEOK Inc.	OKE	0.085776	   65.60	0.18	(0.28%)
254	Aptiv PLC	APTV	0.085184	   106.91	-0.16	(-0.15%)
255	Eversource Energy	ES	0.083301	   82.18	1.17	(1.44%)
256	T. Rowe Price Group	TROW	0.083267	   125.10	0.67	(0.54%)
257	Verisk Analytics Inc	VRSK	0.083236	   180.05	1.40	(0.78%)
258	Republic Services Inc.	RSG	0.082549	   136.44	1.05	(0.78%)
259	Baxter International Inc.	BAX	0.082434	   56.30	0.98	(1.77%)
260	State Street Corporation	STT	0.082394	   77.05	0.46	(0.60%)
261	Global Payments Inc.	GPN	0.081591	   99.80	0.62	(0.63%)
262	Copart Inc.	CPRT	0.081412	   65.98	1.24	(1.92%)
263	W.W. Grainger Inc.	GWW	0.081388	   610.99	5.52	(0.91%)
264	Gartner Inc.	IT	0.080486	   343.27	0.51	(0.15%)
265	Old Dominion Freight Line Inc.	ODFL	0.08045	   297.12	1.22	(0.41%)
266	Diamondback Energy Inc.	FANG	0.079892	   150.00	-1.44	(-0.95%)
267	HP Inc.	HPQ	0.079366	   29.94	0.56	(1.91%)
268	American Water Works Company Inc.	AWK	0.079155	   152.00	3.78	(2.55%)
269	Willis Towers Watson Public Limited Company	WTW	0.077971	   241.30	2.18	(0.91%)
270	D.R. Horton Inc.	DHI	0.077563	   84.49	1.83	(2.21%)
271	Genuine Parts Company	GPC	0.07748	   183.92	-0.07	(-0.04%)
272	Corning Inc	GLW	0.076446	   33.83	-0.15	(-0.44%)
273	AmerisourceBergen Corporation	ABC	0.076006	   165.53	0.82	(0.50%)
274	CDW Corp.	CDW	0.075329	   189.24	0.74	(0.39%)
275	International Flavors & Fragrances Inc.	IFF	0.074863	   100.52	0.70	(0.70%)
276	United Rentals Inc.	URI	0.073961	   359.95	3.71	(1.04%)
277	Tractor Supply Company	TSCO	0.07365	   226.59	3.05	(1.36%)
278	eBay Inc.	EBAY	0.0736	   45.30	0.17	(0.38%)
279	Fifth Third Bancorp	FITB	0.073163	   36.33	0.00	(0.00%)
280	CBRE Group Inc. Class A	CBRE	0.072398	   76.78	0.80	(1.05%)
281	Hartford Financial Services Group Inc.	HIG	0.071699	   75.53	0.78	(1.04%)
282	Fortive Corp.	FTV	0.0714	   67.89	0.13	(0.19%)
283	PG&E Corporation	PCG	0.071303	   15.24	0.12	(0.79%)
284	Weyerhaeuser Company	WY	0.07121	   32.13	-0.18	(-0.56%)
285	Vulcan Materials Company	VMC	0.07115	   183.35	1.07	(0.59%)
286	Raymond James Financial Inc.	RJF	0.071053	   120.37	-3.15	(-2.55%)
287	Zimmer Biomet Holdings Inc.	ZBH	0.070827	   118.01	2.68	(2.32%)
288	Warner Bros. Discovery Inc. Series A	WBD	0.07035	   11.33	0.53	(4.91%)
289	Edison International	EIX	0.069735	   63.39	0.96	(1.54%)
290	Ulta Beauty Inc.	ULTA	0.069563	   448.56	-1.48	(-0.33%)
291	Equifax Inc.	EFX	0.069519	   197.93	3.98	(2.05%)
292	AvalonBay Communities Inc.	AVB	0.069368	   168.52	-0.38	(-0.22%)
293	Entergy Corporation	ETR	0.06781	   112.85	0.16	(0.14%)
294	Alexandria Real Estate Equities Inc.	ARE	0.067106	   151.24	-1.44	(-0.94%)
295	Nasdaq Inc.	NDAQ	0.06694	   67.41	0.89	(1.34%)
296	Martin Marietta Materials Inc.	MLM	0.066919	   365.32	0.67	(0.18%)
297	Southwest Airlines Co.	LUV	0.066427	   38.72	0.55	(1.44%)
298	Ameren Corporation	AEE	0.066093	   85.94	-1.29	(-1.48%)
299	LyondellBasell Industries NV	LYB	0.066074	   88.25	0.77	(0.88%)
300	First Republic Bank	FRC	0.065904	   124.12	2.59	(2.13%)
301	Coterra Energy Inc.	CTRA	0.064875	   27.50	0.00	(0.00%)
302	CF Industries Holdings Inc.	CF	0.06487	   106.74	-2.94	(-2.68%)
303	DTE Energy Company	DTE	0.064795	   114.49	0.82	(0.72%)
304	Huntington Bancshares Incorporated	HBAN	0.064546	   15.22	0.07	(0.46%)
305	Lennar Corporation Class A	LEN	0.064436	   86.89	1.77	(2.08%)
306	Delta Air Lines Inc.	DAL	0.06443	   34.55	0.32	(0.93%)
307	Ingersoll Rand Inc.	IR	0.06408	   54.12	0.33	(0.61%)
308	Cardinal Health Inc.	CAH	0.063802	   78.44	-0.45	(-0.57%)
309	Laboratory Corporation of America Holdings	LH	0.063556	   238.29	1.54	(0.65%)
310	Regions Financial Corporation	RF	0.063314	   22.55	-0.11	(-0.49%)
311	McCormick & Company Incorporated	MKC	0.063108	   86.11	-0.01	(-0.01%)
312	Equity Residential	EQR	0.063081	   62.74	-0.22	(-0.35%)
313	Principal Financial Group Inc.	PFG	0.063036	   92.36	0.65	(0.71%)
314	FirstEnergy Corp.	FE	0.062811	   39.51	0.53	(1.36%)
315	PPL Corporation	PPL	0.062738	   28.87	0.13	(0.45%)
316	Marathon Oil Corporation	MRO	0.062729	   30.66	-0.53	(-1.70%)
317	ANSYS Inc.	ANSS	0.062545	   248.25	4.22	(1.73%)
318	Arch Capital Group Ltd.	ACGL	0.062367	   58.36	0.58	(1.00%)
319	Quanta Services Inc.	PWR	0.062176	   146.20	-1.59	(-1.08%)
320	Extra Space Storage Inc.	EXR	0.061688	   156.49	-0.25	(-0.16%)
321	Citizens Financial Group Inc.	CFG	0.06044	   41.65	0.26	(0.63%)
322	Dover Corporation	DOV	0.060169	   142.76	0.61	(0.43%)
323	Hewlett Packard Enterprise Co.	HPE	0.06004	   15.80	0.17	(1.09%)
324	Waters Corporation	WAT	0.059845	   334.57	-2.40	(-0.71%)
325	Xylem Inc.	XYL	0.059675	   113.25	0.67	(0.60%)
326	Tyson Foods Inc. Class A	TSN	0.058346	   67.14	-0.18	(-0.27%)
327	EPAM Systems Inc.	EPAM	0.058115	   343.25	1.96	(0.57%)
328	Northern Trust Corporation	NTRS	0.057458	   93.84	0.10	(0.10%)
329	Teledyne Technologies Incorporated	TDY	0.057094	   419.94	4.74	(1.14%)
330	CenterPoint Energy Inc.	CNP	0.056436	   30.81	0.36	(1.18%)
331	Church & Dwight Co. Inc.	CHD	0.056142	   78.57	0.48	(0.61%)
332	Expeditors International of Washington Inc.	EXPD	0.055407	   114.46	0.34	(0.30%)
333	Hologic Inc.	HOLX	0.055244	   74.12	-0.14	(-0.19%)
334	AES Corporation	AES	0.055041	   28.48	0.40	(1.42%)
335	VeriSign Inc.	VRSN	0.054745	   199.31	1.65	(0.83%)
336	Molina Healthcare Inc.	MOH	0.054655	   320.58	4.03	(1.27%)
337	Clorox Company	CLX	0.05455	   149.12	-1.88	(-1.25%)
338	Mid-America Apartment Communities Inc.	MAA	0.054511	   161.32	0.44	(0.27%)
339	Invitation Homes Inc.	INVH	0.054349	   31.63	0.05	(0.16%)
340	Westinghouse Air Brake Technologies Corporation	WAB	0.054169	   99.98	-0.35	(-0.35%)
341	Darden Restaurants Inc.	DRI	0.053858	   148.33	0.34	(0.23%)
342	Kellogg Company	K	0.053824	   72.51	0.48	(0.67%)
343	Amcor PLC	AMCR	0.053522	   12.05	0.06	(0.50%)
344	Ventas Inc.	VTR	0.052556	   44.92	0.24	(0.54%)
345	STERIS Plc	STE	0.052547	   181.00	3.18	(1.79%)
346	IDEX Corporation	IEX	0.052479	   235.40	0.58	(0.25%)
347	Synchrony Financial	SYF	0.052224	   36.84	0.32	(0.88%)
348	KeyCorp	KEY	0.051823	   19.03	0.13	(0.69%)
349	Mosaic Company	MOS	0.051729	   50.75	0.28	(0.55%)
350	Ball Corporation	BALL	0.051683	   56.12	0.72	(1.30%)
351	Conagra Brands Inc.	CAG	0.051671	   37.00	0.42	(1.15%)
352	CMS Energy Corporation	CMS	0.051472	   60.83	0.61	(1.01%)
353	Cincinnati Financial Corporation	CINF	0.051045	   108.79	0.75	(0.70%)
354	PerkinElmer Inc.	PKI	0.050824	   137.37	0.76	(0.56%)
355	Quest Diagnostics Incorporated	DGX	0.050724	   148.46	1.76	(1.20%)
356	SolarEdge Technologies Inc.	SEDG	0.050683	   306.25	-2.93	(-0.95%)
357	Broadridge Financial Solutions Inc.	BR	0.050663	   148.43	0.07	(0.05%)
